Study_ID,title,year,journal,authors,Bird,Fish,Marine_Mammals,Other,Reason_for_Exclusion,Filename_article,Filename_suppl_files,Filename_suppl_files_2,Extracted_N_Partially_Fully,Assigned_to,Assigned_to_2,,Date_data_extraction,Extraction_time_in_min,Extraction_comments,Checked_name,Date_data_checked,Checking_comments
P_XXXX,Text,Year,Text,Names,NA / Bird,NA / Fish,NA / Marine Mammals,NA / Other,Text / NA (if included),Text,Text / NA (if suppl not present),Text / NA (if suppl not present),N (not extracted yet) / in Progress / Partially / Fully,Name,,,Date,Time in min,Text,Losia / Cat,Date,Text
P_0173,Perfluorooctane sulfonic acid and organohalogen pollutants in liver of three freshwater fish species in Flanders (Belgium): Relationships with biochemical and organismal effects,2005,Environmental Pollution,"Hoff, P.T. and Van Campenhout, K. and Van De Vijver, K. and Covaci, A. and Bervoets, L. and Moens, L. and Huyskens, G. and Goemans, G. and Belpaire, C. and Blust, R. and De Coen, W.",NA,Fish,NA,NA,NA,P_0173_Hoff_2005,NA,NA,Fully,Maegan,,,19/10/2021,9,,Cat,21/10/2021,
P_0174,Perfluorooctane sulfonic acid in bib (Trisopterus luscus) and plaice (Pleuronectes platessa) from the Western Scheldt and the Belgian North Sea: Distribution and biochemical effects,2003,Environmental Toxicology and Chemistry,"Hoff, P.T. and Van de Vijver, K. and Van Dongen, W. and Esmans, E.L. and Blust, R. and De Coen, W.M.",NA,Fish,NA,NA,NA,P_0174_Hoff_2003,NA,NA,Fully,Maegan,,,19/10/2021,12,,Cat,21/10/2021,
P_0178,Induction of gene responses in St. Lawrence River northern pike (Esox lucius) environmentally exposed to perfluorinated compounds,2013,Chemosphere,"Houde, M. and Douville, M. and Despatie, S.-P. and De Silva, A.O. and Spencer, C.",NA,Fish,NA,NA,NA,P_0178_Houde_2013,P_0178_Houde_2013_Suppl,NA,Fully,Maegan,,,19/10/2021,8,,Cat,21/10/2021,
P_0179,A multi-level biological approach to evaluate impacts of a major municipal effluent in wild St. Lawrence River yellow perch (Perca flavescens),2014,Science of the Total Environment,"Houde, M. and Giraudo, M. and Douville, M. and Bougas, B. and Couture, P. and De Silva, A.O. and Spencer, C. and Lair, S. and Verreault, J. and Bernatchez, L. and Gagnon, C.",NA,Fish,NA,NA,NA,P_0179_Houde_2014,P_0179_Houde_2014_Suppl,NA,Fully,Maegan,Radiah,,19/10/2021,10 and 10,,Cat,21/10/2021,
P_0181,Occurrence of halogenated contaminants in fish from selected river localities and ponds in the Czech Republic,2012,Archives of Environmental Contamination and Toxicology,"Hradkova, P. and Pulkrabová, J. and Kalachová, K. and Hloušková, V. and Tomaniová, M. and Poustka, J. and Hajšlová, J.",NA,Fish,NA,NA,NA,P_0181_Hr�dkov�_2012,P_0181_Hr�dkov�_2012,NA,Fully,Maegan,Radiah,,20/10/2021,8 and 5,,Cat,21/10/2021,
P_0187,Concentrations of 19 perfluorinated compounds in saltwater and freshwater fishes analyzed by liquid chromatography-tandem mass spectrometry,2017,FASEB JOURNAL,"Jeong, YJ and Choi, S and Chun, SH and Lee, KW and Jeong, Yu-Jin and Choi, Seogyeong and Chun, Su-Hyun and Lee, Kwang-Won",NA,Fish,NA,NA,"No details on fish species or fishing location, as main focus on methods",,,,N,Maegan,Radiah,,,,,,,
P_0188,"Interspecific and Spatial Comparisons of Perfluorinated Compounds in Bighead and Silver Carp in the Illinois River, Illinois, USA",2015,Bulletin of Environmental Contamination and Toxicology,"Jm, L. and Soucek, D. and Sass, G. and Epifanio, J.",NA,Fish,NA,NA,NA,P_0188_Jm_2015,NA,,Fully,Maegan,Radiah,,20/10/2021,8 and 5,,Cat,21/10/2021,
P_0190,PFASs in Finnish rivers and fish and the loading of PFASs to the Baltic Sea,2019,Water (Switzerland),"Junttila, V. and Vähä, E. and Perkola, N. and Räike, A. and Siimes, K. and Mehtonen, J. and Kankaanpää, H. and Mannio, J.",NA,Fish,NA,NA,NA,P_0190_Juntilla_2019,P_0190_Juntilla_2019_Suppl,,Fully,Maegan,Radiah,,20/10/2021,9 and 10,,Cat,21/10/2021,
P_0198,"Analysis and validation of perfluorinated compounds in water, sediment and fish with LC-ESI–MS/MS",2017,International Journal of Environmental Analytical Chemistry,"Kaupmees, S. and Rebane, R.",NA,Fish,NA,NA,"No details on fish species or fishing location (other than Estonia), as main focus on methods",P_0198_Kaupmees_2017,,,Partially,Maegan,Radiah,,09/10/21 and 14/10/2021,15 and 15,,,,
P_0201,"Bioaccumulation Patterns of Perfluoroalkyl Acids in an Estuary of the Ariake Sea, Japan",2018,Bulletin of Environmental Contamination and Toxicology,"Kobayashi, J. and Maeda, Y. and Imuta, Y. and Ishihara, F. and Nakashima, N. and Komorita, T. and Sakurai, T.",NA,Fish,NA,NA,NA,P_0201_Kobayashi_2018,,,Fully,Maegan,Radiah,,09/10/21 and 14/10/2021,10 and 12,,Cat,21/10/2021,
P_0204,"Perfluoroalkyl acids in various edible Baltic, freshwater, and farmed fish in Finland",2015,Chemosphere,"Koponen, J. and Airaksinen, R. and Hallikainen, A. and Vuorinen, P.J. and Mannio, J. and Kiviranta, H.",NA,Fish,NA,NA,NA,P_0204_Koponen_2015,,,Fully,Maegan,Radiah,,09/10/21 and 14/10/2021,10 and 13,,Cat,21/10/2021,
P_0206,"Occurrence of perfluoroalkyl substances in fish and water from the svitava and Svratka Rivers, Czech Republic",2012,Bulletin of Environmental Contamination and Toxicology,"Kovarova, J. and Marsalek, P. and Blahova, J. and Jurcikova, J. and Kasikova, B. and Svobodova, Z.",NA,Fish,NA,NA,NA,P_0206_Kovarova_2012,,,Fully,Maegan,Radiah,,09/10/21 and 14/10/2021,8 and 9,,Cat,21/10/2021,
P_0207,Perfluoroalkyl substances (PFAS) in beaked redfish (Sebastes mentella) and cod (Gadus morhua) from arctic fishing grounds of Svalbard,2020,Food Additives and Contaminants: Part B Surveillance,"Kowalczyk, J. and Flor, M. and Karl, H. and Lahrssen-Wiederholt, M.",NA,Fish,NA,NA,NA,P_0207_Kowalczyk_2020,,,Fully,Maegan,Radiah,,09/10/21 and 14/10/2021,10 and 11,,Cat,21/10/2021,
P_0213,"Partitioning behaviour of perfluorinated alkyl contaminants between water, sediment and fish in the Orge River (nearby Paris, France)",2011,Environmental Pollution,"Labadie, P. and Chevreuil, M.",NA,Fish,NA,NA,NA,P_0213_Labadie_2011,P_0213_Labadie_2011_Suppl,,Fully,Maegan,Radiah,,25/10/2021,9 and 9,,Cat,21/10/2021,
P_0215,"Perfluorinated alkyl substances in water, sediment, plankton and fish from Korean rivers and lakes: A nationwide survey",2014,Science of the Total Environment,"Lam, N.-H. and Cho, C.-R. and Lee, J.-S. and Soh, H.-Y. and Lee, B.-C. and Lee, J.-A. and Tatarozako, N. and Sasaki, K. and Saito, N. and Iwabuchi, K. and Kannan, K. and Cho, H.-S.",NA,Fish,NA,NA,NA,P_0215_Lam_2014,P_0215_Lam_2014_Suppl,,Fully,Maegan,Radiah,,26/10/2021,8 and 10,,Cat,21/10/2021,
P_0217,"Determination of perfluorinated carboxylic acids in fish fillet by micro-solid phase extraction, followed by liquid chromatography-triple quadrupole mass spectrometry",2014,Journal of Chromatography A,"Lashgari, M. and Lee, H.K.",NA,Fish,NA,NA,"Sampling location not stated, authors just said purchased at a wet market",P_0217_Lashgari_2014,NA,,Fully,Maegan,Radiah,,26/10/2021,7 and 5,,,,
P_0221,Concentration and distribution of per- and polyfluoroalkyl substances (PFAS) in the Asan Lake area of South Korea,2020,Journal of Hazardous Materials,"Lee, Y.-M. and Lee, J.-Y. and Kim, M.-K. and Yang, H. and Lee, J.-E. and Son, Y. and Kho, Y. and Choi, K. and Zoh, K.-D.",NA,Fish,NA,NA,NA,P_0221_Lee_2020,P_0221_Lee_2020_Suppl,,Fully,Maegan,Radiah,,26/10/2021,7 and 6,,Cat,21/10/2021,
P_0225,Spatial and interspecific patterns in persistent contaminant loads in bighead and silver carp from the Illinois River,2013,Ecotoxicology,"Levengood, J.M. and Soucek, D.J. and Dickinson, A. and Sass, G.G. and Epifanio, J.M.",NA,Fish,NA,NA,NA,P_0225_Levengood_2013,P_0225_Levengood_2013_Suppl,,Fully,Maegan,Radiah,,26/20/21,5 and 6,,Cat,21/10/2021,
P_0233,"Occurrence, distribution and behavior of emerging persistent organic pollutants (POPs) in a Mediterranean wetland protected area",2019,Science of the Total Environment,"Lorenzo, M. and Campo, J. and Morales Suárez-Varela, M. and Picó, Y.",NA,Fish,NA,NA,,P_0233_Lorenzo_2019,P_0233_Lorenzo_2019_Suppl,,Fully,Maegan,,,26/20/21,7,,Cat,28/10/2021,
